group,adj_GM
control,-0.267625899
control,-0.242446043
control,-0.181294964
control,-0.15971223
control,-0.156115108
control,-0.145323741
control,-0.145323741
control,-0.127338129
control,-0.105755396
control,-0.094964029
control,-0.087769784
control,-0.087769784
control,-0.098561151
control,-0.06618705
control,-0.055395683
control,-0.044604317
control,-0.051798561
control,-0.041007194
control,-0.026618705
control,-0.026618705
control,-0.03381295
control,-0.023021583
control,-0.037410072
control,-0.015827338
control,-0.015827338
control,-0.026618705
control,-0.008633094
control,-0.005035971
control,-0.005035971
control,0.002158273
control,-0.005035971
control,-0.005035971
control,0.005755396
control,0.005755396
control,0.009352518
control,0.020143885
control,0.005755396
control,0.020143885
control,0.027338129
control,0.023741007
control,0.038129496
control,0.038129496
control,0.052517986
control,0.063309353
control,0.063309353
control,0.066906475
control,0.066906475
control,0.081294964
control,0.088489209
control,0.088489209
control,0.084892086
control,0.092086331
control,0.099280576
control,0.095683453
control,0.102877698
control,0.099280576
control,0.099280576
control,0.124460432
control,0.117266187
control,0.10647482
control,0.10647482
control,0.10647482
control,0.117266187
control,0.128057554
control,0.131654676
control,0.164028777
control,0.160431655
expert,0.167625899
expert,0.117266187
expert,0.117266187
expert,0.074100719
expert,0.048920863
expert,0.038129496
