effect_size_d,N_80%,N_95%
0.2,786.811,1301.39
0.25,504.255,833.587
0.3,350.769,579.47
0.35,258.224,426.247
0.4,198.161,326.801
0.45,156.983,258.622
0.5,127.531,209.856
0.55,105.742,173.776
0.6,89.1716,146.335
0.65,76.2779,124.981
0.7,66.0491,108.039
0.75,57.7991,94.372
0.8,51.0491,83.1883
0.85,45.4569,73.9208
0.9,40.7727,66.1561
0.95,36.8104,59.5862
1,33.4294,53.9784
1.05,30.5219,49.1539
1.1,28.0038,44.9737
1.15,25.8089,41.3282
1.2,23.8845,38.1302
1.25,22.1884,35.3097
1.3,20.6861,32.8098
1.35,19.3494,30.5839
1.4,18.1553,28.5936
1.45,17.0844,26.807
1.5,16.1206,25.1975
1.55,15.2503,23.7425
1.6,14.462,22.4233
